L0984年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,,1 9 9 5,,,,,民 國 84 年,,,,,1 9 9 5,,,,,,民 國 84 年,,,,,,1 9 9 5,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(12)電話機,96.7,98.68,97.75,97.49,94.74,96.57,95.71,(12)Telephone,,(12)電話機,97.12,97.99,94.27,97.23,95.24,92.15,95.72,94.36,(12)Telephone,,(12)電話機,94.62,91.68,92.57,88.69,98.08,97.31,98.39,98.35,98.01,(12)Telephone
(13)汽車,47.95,49.53,48.69,41.64,45.86,59.36,65.459999999999994,(13)Sedan vehicle,,(13)汽車,53.87,59.63,46.18,51.19,34.15,32.979999999999997,46.35,45.15,(13)Sedan vehicle,,(13)汽車,42.92,32.96,39.51,23.54,31.35,54.12,63.05,53.78,49.08,(13)Sedan vehicle
(14)機車,79.88,55.85,88.77,70.44,84.86,81.89,87.1,(14)Motor bicycle,,(14)機車,86.57,92.99,89.84,85.61,86,83.46,86.13,91.6,(14)Motor bicycle,,(14)機車,91.13,83.41,81.790000000000006,71.19,67.53,86.69,86.76,94.74,90.64,(14)Motor bicycle
(15)電冰箱,99.19,99.2,99.25,99.54,97.89,98.98,100,(15)Refrigerator,,(15)電冰箱,99.39,99.88,98.62,99.02,98.9,97.79,99.28,99.5,(15)Refrigerator,,(15)電冰箱,98.96,98.73,98.35,100,99.02,98.3,99.01,99.59,99.6,(15)Refrigerator
(16)冷暖氣機,67.08,85.65,79.319999999999993,77.67,62.87,65.73,56.28,(16)Air conditioner,,(16)冷暖氣機,44.79,50.48,57.46,27.46,43.51,43.63,60.48,66.349999999999994,(16)Air conditioner,,(16)冷暖氣機,59.81,38.340000000000003,42.88,43.24,68.72,77.59,70.87,71.569999999999993,76.78,(16)Air conditioner
(17)除濕機,18.09,43.03,5.65,25.37,25.09,35.380000000000003,24.4,(17)Dehumidifier,,(17)除濕機,14.79,8.26,3.99,3.07,1.83,2.4300000000000002,2.62,1.42,(17)Dehumidifier,,(17)除濕機,1.95,2.63,8.64,4.95,45.29,42.7,12.56,7.87,3.97,(17)Dehumidifier
(18)洗衣機,92.83,95.46,93.73,95.88,85.85,92.49,87.81,(18)Washing machine,,(18)洗衣機,87.34,94.71,88.44,89.7,87.19,85.36,91.92,92.3,(18)Washing machine,,(18)洗衣機,94.84,84.77,84.6,90.47,94.53,91.69,93.66,98.29,95.4,(18)Washing machine
(19)烘衣機,20.11,37.72,4.09,27.3,32.46,43.52,38.49,(19)Drier,,(19)烘衣機,28.63,14.35,7.14,11.81,3.46,4.54,4.42,2.98,(19)Drier,,(19)烘衣機,2.11,4.3499999999999996,9.65,1.8,46.77,47.95,13.65,13.13,6.42,(19)Drier
(20)果菜(汁)機,44.45,59.72,51.23,41.39,38.25,44.82,36.200000000000003,(20)Mixer,,(20)果菜(汁)機,35.880000000000003,49.69,31.25,38.020000000000003,29.11,24.61,41.89,38.299999999999997,(20)Mixer,,(20)果菜(汁)機,49.23,21.66,29.98,25.7,30.46,50.26,55.45,64.11,43.88,(20)Mixer
(21)排油煙機,89.25,92.46,90.59,93.38,78.14,91.34,88.79,(21)Exhaust fan,,(21)排油煙機,83.64,95.13,84.88,81.93,80.44,77.69,86.64,90.27,(21)Exhaust fan,,(21)排油煙機,91.7,74.67,68.459999999999994,81.34,86.08,84.89,93.69,92.55,89.39,(21)Exhaust fan
(22)吸塵器,33.68,55.25,36.01,34.04,33.75,41.19,44.57,(22)Vacuum cleaner,,(22)吸塵器,27.24,34.479999999999997,21.84,22.61,14.28,9.5500000000000007,19.989999999999998,20.28,(22)Vacuum cleaner,,(22)吸塵器,17.82,12.68,24.88,12.49,24.77,56.47,45.2,36.25,30.82,(22)Vacuum cleaner
(23)瓦斯熱水器,89.62,93.83,85.64,95.46,86.89,92.34,94.81,(23)Gas geyser,,(23)瓦斯熱水器,92.31,93.87,83.07,84.82,87.7,85.96,87.05,81.36,(23)Gas geyser,,(23)瓦斯熱水器,82.52,76.61,78.55,89.98,91.97,92.96,92.96,88.19,83.41,(23)Gas geyser
(24)電熱水器,8.02,8.43,8.4600000000000009,4.97,8.65,9.86,4.8499999999999996,(24)Electric geyser,,(24)電熱水器,8.1999999999999993,7.33,11.02,7.11,5.41,5.31,8.5500000000000007,8.83,(24)Electric geyser,,(24)電熱水器,8.7799999999999994,10.81,7.54,10.47,3.51,7.24,7.43,16.03,15.21,(24)Electric geyser
(25)微波爐(含烤箱),33.31,58.49,34.26,35.51,24.16,36.33,28.82,(25)Oven,,(25)微波爐(含烤箱),20.16,28.61,17.260000000000002,21.31,18.7,12.73,19.739999999999998,18.75,(25)Oven,,(25)微波爐(含烤箱),14.42,12.11,20.12,19.96,34.86,53.85,50.77,43.73,36.28,(25)Oven
(26)報紙,55.61,61.06,61.07,56.82,46.33,57.6,62.73,(26)Newspaper,,(26)報紙,52.53,60.16,46.97,50.9,37.75,37.94,55.11,53.69,(26)Newspaper,,(26)報紙,52.54,39.36,42.65,40.14,39.270000000000003,59.01,62.34,68.260000000000005,67.09,(26)Newspaper
