L0998年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 98 年,,,,,2 0 0 9,,,,,民 國 98 年,,,,,2 0 0 9,,,,,,民 國 98 年,,,,,,2 0 0 9,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 98 年,,,,,2 0 0 9,,,,,民 國 98 年,,,,,2 0 0 9,,,,,,民 國 98 年,,,,,,2 0 0 9,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,59.18,48.96,56.41,52.35,59.18,71.2,81.7,(13)Sedan vehicle,,(13)汽車,70.08,71.89,62.43,70.319999999999993,51.55,52.26,59.41,60.11,(13)Sedan vehicle,,(13)汽車,56.12,54.39,58.53,41.49,35.56,70.11,69.58,60.33,63.23,(13)Sedan vehicle
(14)機車,82.87,61.67,90.39,81.349999999999994,82.62,83.72,83,(14)Motorcycle,,(14)機車,89.76,89.83,89.25,87.23,83.39,83.22,86.57,92.2,(14)Motorcycle,,(14)機車,96.39,86.16,77.209999999999994,82.58,68.98,81.61,86.48,85.17,91.14,(14)Motorcycle
(15)電磁爐,39.79,49.29,31.55,55.64,30.92,44.39,43.01,(15)Electro-magnetic oven,,(15)電磁爐,36.99,40.950000000000003,29.92,35.1,29.97,24.53,26.77,24.59,(15)Electro-magnetic oven,,(15)電磁爐,21.96,20.71,23.57,21.93,44.6,43.66,40.86,55.27,32.36,(15)Electro-magnetic oven
(16)冷暖氣機,88.35,93.6,93.01,95.3,85.75,88.46,88.41,(16)Air conditioner,,(16)冷暖氣機,84.61,80.209999999999994,89.37,62.06,80.48,71.819999999999993,82.34,89.48,(16)Air conditioner,,(16)冷暖氣機,86.24,64.7,72.680000000000007,83.46,86.22,94.04,89.7,92.5,92.03,(16)Air conditioner
(17)除濕機,29.75,51.45,11.6,42.71,55.42,50.99,50.27,(17)Dehumidifier,,(17)除濕機,34.770000000000003,18.420000000000002,8.98,17.75,6.4,9.93,9.2799999999999994,5.92,(17)Dehumidifier,,(17)除濕機,5,9.98,25.3,26.14,66.94,61.52,20.329999999999998,12.22,12.78,(17)Dehumidifier
(18)洗衣機,97.43,97.5,96.32,99.55,97.71,99.03,96.74,(18)Washing machine,,(18)洗衣機,96.86,97.61,95.62,95.15,96.64,93.84,94.97,96.25,(18)Washing machine,,(18)洗衣機,97.97,93.16,95.44,97.54,99.04,97.66,97.47,97.48,97.86,(18)Washing machine
(19)烘衣機,16.86,24.47,3.08,19.32,33.090000000000003,33.770000000000003,40.01,(19)Drier,,(19)烘衣機,42.54,14.71,7.73,15.67,7.59,6.86,5.48,3.26,(19)Drier,,(19)烘衣機,2.68,4.6900000000000004,16.89,5.53,30.38,33.5,13.79,6.1,6.31,(19)Drier
(20)空氣清淨機,10.94,20.21,9,15.32,6.06,12.83,18.55,(20)Air-clean machine,,(20)空氣清淨機,10.16,6.78,4.2,4.25,2.0499999999999998,3.06,6.08,6.07,(20)Air-clean machine,,(20)空氣清淨機,3.53,2.48,6.58,5,7.08,20.66,13.67,5.75,8.8699999999999992,(20)Air-clean machine
(21)濾水器,33.19,36.729999999999997,37.17,35.25,15.85,47.13,51.2,(21)Water filter machine,,(21)濾水器,33.28,36.119999999999997,18.48,21.33,18.46,27.66,23.35,25.54,(21)Water filter machine,,(21)濾水器,13.61,15.3,22.93,4.4400000000000004,20.62,57.38,48,29.3,38.99,(21)Water filter machine
(22)吸塵器,40.31,54.51,38.799999999999997,44.68,35.49,42.26,55.14,(22)Vacuum cleaner,,(22)吸塵器,43.4,41.2,27.66,34.4,18.18,22.46,28.39,31.67,(22)Vacuum cleaner,,(22)吸塵器,30.39,29.46,37.299999999999997,27.33,35.909999999999997,60.78,45.59,45.69,35.479999999999997,(22)Vacuum cleaner
(23)熱水器,97.29,97.2,98.07,99.3,95.47,99.02,97.31,(23)Geyser,,(23)熱水器,97.75,98.81,97.12,93.09,95.27,95.93,94.75,93.66,(23)Geyser,,(23)熱水器,94.87,87.14,92.36,97.52,99.69,98.32,98.37,98.1,98.27,(23)Geyser
(24)開飲機,53.26,43.3,45.1,59.99,62.7,60.28,61.63,(24)Hot-warm water fountain,,(24)開飲機,69.209999999999994,55.07,67.25,44.3,57.7,35.25,37.51,50.06,(24)Hot-warm water fountain,,(24)開飲機,70.12,64.09,51.47,73.45,43.13,51.28,54.77,54.5,35.340000000000003,(24)Hot-warm water fountain
