appleL02113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,,,,,,,,,,,,,,,,,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,,,,,,,,,,,,,,,,,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,11006,19398,11725,6914,5031,8694,(3)Passenger and goods transport services,,(3)客運與貨物運輸服務,4817,19901,7797,3390,3925,4613,4180,(3)Passenger and goods transport services,,(3)客運與貨物運輸服務,5054,3959,4243,6451,11556,13497,7188,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,
8.資通訊,33816,37297,38529,35563,33664,30455,33189,8.Information and communication,,8.資通訊,28056,40483,34293,26761,24028,30083,25092,8.Information and communication,,8.資通訊,31664,24960,28681,25650,29259,36516,35408,8.Information and communication,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,41219,55317,28817,37474,19541,27965,"9.Recreation,sport and culture",,9.休閒、運動與文化,19512,38760,22538,18371,14748,18884,13277,"9.Recreation,sport and culture",,9.休閒、運動與文化,16605,8628,16936,9478,23851,46382,27854,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,20949,28830,12006,17432,8149,11770,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),10636,15226,10580,8669,6454,7729,6107,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),6692,3974,7303,2363,8566,18942,12921,(1)Package holidays,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,5751,6141,4441,5236,2677,3965,"(2)Recreational,sporting and cultural goods",,(2)休閒、運動與文化用品,2713,6616,3107,2259,2064,3322,2452,"(2)Recreational,sporting and cultural goods",,(2)休閒、運動與文化用品,2411,1942,3104,2779,4127,4365,3692,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,11430,16844,8523,10801,6037,9292,"(3)Recreational,sporting and cultural services",,(3)休閒、運動與文化服務,4550,12986,5234,4246,4439,5415,2894,"(3)Recreational,sporting and cultural services",,(3)休閒、運動與文化服務,5041,1266,4752,3078,8013,19110,7947,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,3088,3501,3847,4006,2678,2937,"(4)Newspapers,books and stationery",,(4)書報雜誌文具,1613,3932,3618,3198,1792,2417,1824,"(4)Newspapers,books and stationery",,(4)書報雜誌文具,2462,1446,1776,1258,3145,3965,3294,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,
10.教育,23582,24082,29488,27818,28703,18613,21556,10.Education services,,10.教育,13436,50033,16503,19307,10940,12431,9580,10.Education services,,10.教育,14666,7279,9408,7478,15208,42679,30142,10.Education services,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,122639,157241,120850,128904,118319,142013,11.Restaurants and accommodation services,,11.餐廳及住宿,84546,139032,87030,67343,57698,75614,104358,11.Restaurants and accommodation services,,11.餐廳及住宿,136225,67837,67600,51572,80885,158602,165594,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,43032,38410,47463,46604,42010,45910,12.Insurance and financial services,,12.保險及金融服務,31346,49225,34268,33635,24241,32120,25909,12.Insurance and financial services,,12.保險及金融服務,40956,25872,31733,9990,26581,45875,52910,12.Insurance and financial services,,,,,,,,,,,,,,,,
