appleL04113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,24376,22889,23491,20567,21260,"(2)Water,electricity,gas and other fuels",,(2)水電費及燃料,19703,23717,23377,18846,15589,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,48449,38378,33851,25900,23286,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,17996,25318,22765,16894,16885,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,
6.醫療保健,131147,147899,130515,137557,128847,124430,6.Health,,6.醫療保健,111847,130287,131327,109150,135042,6.Health,,,,,,,,,,,,,,,,,,,,,,,,,,
7.交通,68484,134189,101997,100740,69789,59165,7.Transport,,7.交通,54397,77436,67937,46133,29153,7.Transport,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,29173,21832,21519,13039,7169,(1)Purchase of vehicles,,(1)個人交通工具之購置,5796,12701,10740,6388,4221,(1)Purchase of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,80900,62555,65772,46234,43852,(2)Operation of personal transport equipment,,(2)個人交通設備管理維護,44637,57399,50773,32546,19656,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,24116,17610,13450,10515,8144,(3)Passenger and goods transport services,,(3)客運與貨物運輸服務,3964,7335,6424,7198,5276,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,,,,,,,,,,,
8.資通訊,33816,54155,44692,42380,35859,33840,8.Information and communication,,8.資通訊,26596,37963,36962,27769,18814,8.Information and communication,,,,,,,,,,,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,89842,57262,47646,33302,24732,"9.Recreation,sport and culture",,9.休閒、運動與文化,13625,27228,23763,14516,15979,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,51178,27379,22689,15824,9389,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),5655,10397,8718,4348,8806,(1)Package holidays,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,9220,7341,5963,4670,4123,"(2)Recreational,sporting and cultural goods",,(2)休閒、運動與文化用品,2620,4446,3777,3070,2087,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,22900,16931,14531,10194,8287,"(3)Recreational,sporting and cultural services",,(3)休閒、運動與文化服務,3459,8706,7805,5015,4130,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,6544,5611,4463,2614,2932,"(4)Newspapers,books and stationery",,(4)書報雜誌文具,1891,3678,3463,2083,956,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,,,,,,,,,,,
10.教育,23582,69465,48270,36946,16041,18989,10.Education services,,10.教育,9856,27267,23977,9767,2883,10.Education services,,,,,,,,,,,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,193056,162915,158450,125975,125773,11.Restaurants and accommodation services,,11.餐廳及住宿,83770,149611,140681,101391,57122,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,78151,62019,61681,44155,39833,12.Insurance and financial services,,12.保險及金融服務,28418,48755,45064,26820,12972,12.Insurance and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,
13.其他,37856,68530,49228,48242,36220,35135,13.Miscellaneous goods and services,,13.其他,31454,39811,34243,27698,25879,13.Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,
