2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
可支配所得(平均數),1059730.9088,1102331.843,1422400.1304,1147355.5788,1082584.1091,904113.79832,1014869.0035,Disposable income(mean)
可支配所得(中位數),905000,980792,1243663,1003029,943300,781835,853024,Disposable income(median)
消費支出,829198.82563,810975.20245,1152500.5118,853094.79902,894519.24356,714444.69672,842427.50967,Consumption expenditures
儲蓄,230532.08317,291356.64056,269899.6186,294260.77977,188064.86554,189669.1016,172441.49378,Saving
所得總額,1335845.1713,1387811.8789,1839410.014,1434755.0865,1357725.41,1120896.9333,1291256.582,Current receipts
樣本戶數,16528,2500,2000,1500,2000,1500,2200,Numbers of samples
可支配所得標準差,18602,45667,45624,47895,58408,44743,85900,Disposable income standard deviation
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續四),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.4),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,
,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,
,County,County,County,County,County,County,County,
,,,,,,,,
三、消費支出,771019.05045,1006873.6963,639221.34008,628478.64752,606254.2535,602116.22463,586852.51587,C.Consumption expenditures
1.食品及非酒精飲料,129674.1223,141331.55685,92422.404818,107088.79341,99534.260955,86060.303121,111450.77176,1.Food and non-alcoholic beverages
