2020-08-14T00:00:00L04108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,
,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,119886.42515,181123.19904,175388.03413,149774.93625,161397.5165,"4.Housing,water,electricity,gas and other fuels",
(1)房地租及水費,103087.57095,161031.51694,155400.68723,133073.55063,148125.62775,(1)Rent and water charges,
(2)電費及燃料,16798.854206,20091.682101,19987.346901,16701.385624,13271.888747,(2)Power and fuel,
5.家具設備及家務維護,13906.883633,20296.136885,19410.965938,13951.536508,12443.911639,"5.Furnishings,household equipment        and routine household maintenance",
6.醫療保健,135992.16979,134681.06185,129865.4102,110056.58749,119275.29421,6.Health,
7.交通,56517.030885,83538.22288,75585.880072,51504.504695,30483.113224,7.Transport,
(1)個人交通工具之購置,6454.3946957,14050.511731,10492.817023,7837.7504375,3303.6217285,(1)Purchase of vehicles,
(2)個人交通設備使用管理及保養費,39198.840884,53850.142086,50222.958682,32816.422984,18160.643611,(2)Operation of transport equipment,
(3)乘交通設備及其他交通服務,4833.5118718,8455.3017921,8573.7689107,6865.4934362,6422.3924276,(3)Transport services,
(4)汽、機車保險費,6030.2834337,7182.2672702,6296.335456,3984.8378367,2596.4554565,(4)Insurance of vehicles,
8.通訊,17595.583499,27829.465272,27764.581549,19976.919618,11022.161547,8.Communication,
9.休閒與文化,23571.119648,41452.423079,33187.698109,24151.828909,26302.989462,9.Recreation and culture,
(1)套裝旅遊(不含自助旅遊),11938.363691,19625.326023,13238.352072,9343.0410058,14490.452029,(1)Package holidays,
(2)娛樂消遣及文化服務,6444.1428965,11522.558226,10584.348685,8531.4096327,7302.0432445,(2)Recreational and cultural services,
(3)書報雜誌文具,2238.4219204,4397.7591819,4275.4800974,2447.1190435,1395.1895569,"(3)Newspapers,books and stationery",
(4)教育消遣康樂器材及其附屬品,2950.1911396,5906.7796472,5089.517254,3830.259227,3115.3046317,(4)Recreational facilities,
10.教育,13456.559046,31952.617981,32121.540251,14243.143996,4425.4366143,10.Education,
11.餐廳及旅館,65679.493195,124054.91501,118852.68627,89711.26372,46327.422589,11.Restaurants and hotels,
12.什項消費,34269.263325,41134.561513,40160.670994,29312.712891,29718.542663,12.Miscellaneous goods and services,
可支配所得,798750.00902,1091032.1408,1024698.7882,787397.33708,558028.79348,Disposable income,
消費支出,616794.15619,855228.66831,814575.67513,636839.24573,537788.23683,Consumption expenditures,
儲蓄,181955.85283,235803.47245,210123.11308,150558.09135,20240.556643,Saving,
所得總額,942285.79282,1353053.3154,1287562.4088,968820.32198,681953.86724,Current receipts,
