家庭戶數,5567351,827128,407203,900312,110516,370683,90121,No. of households,,家庭戶數,125174,329032,282331,133778,180828,136978,275519,308152,No. of households,,家庭戶數,221990,65542,93764,24316,99936,87235,232536,68418,195859,No. of households
平均每戶人數,4.0199999999999996,3.97,3.9,4.08,4.09,4.2699999999999996,4.3099999999999996,No. of persons per household,,平均每戶人數,4.1500000000000004,4.3,4.29,4.09,3.64,3.71,3.84,3.81,No. of persons per household,,平均每戶人數,4.0599999999999996,3.32,3.8,3.38,3.92,3.98,3.93,3.96,4.2,No. of persons per household
平均每戶成年人數,2.61,2.59,2.57,2.61,2.81,2.72,2.83,No. of adults per household,,平均每戶成年人數,2.74,2.61,2.8,2.6,2.41,2.48,2.57,2.52,No. of adults per household,,平均每戶成年人數,2.68,2.2000000000000002,2.42,2.36,2.7,2.59,2.6,2.52,2.76,No. of adults per household
平均每戶就業人數,1.75,1.66,1.66,1.69,1.74,1.87,2.02,No. of persons employed per household,,平均每戶就業人數,1.9,1.89,1.95,1.85,1.68,1.77,1.9,1.71,No. of persons employed per household,,平均每戶就業人數,1.9,1.48,1.65,1,1.73,1.67,1.66,1.53,1.81,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.69,1.67,1.71,1.83,1.83,2,No. of income recipients per household,,平均每戶所得收入者人數,1.8,1.75,1.81,1.72,1.55,1.52,1.75,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.75,1.49,1.68,1.37,1.78,1.82,1.64,1.6,1.77,No. of income recipients per household
2.飲料費,6205,7077,7631,5228,6494,6196,4471,2.Beverage,,2.飲料費,5631,7253,5744,6441,5052,4926,5387,5699,2.Beverage,,2.飲料費,7051,6567,10513,8133,8388,5263,4670,7721,4920,2.Beverage
3.菸草,5068,3842,5279,5211,5884,5139,4860,3.Tobacco,,3.菸草,5885,5500,5240,6102,4609,5082,5484,5515,3.Tobacco,,3.菸草,6458,5222,5976,5511,5603,3604,4143,4478,5139,3.Tobacco
4.衣著、鞋、襪類,26769,41397,28188,28217,27119,29223,25073,4.Clothing and footwear,,4.衣著、鞋、襪類,21506,29072,17723,20451,14049,13286,16841,19458,4.Clothing and footwear,,4.衣著、鞋、襪類,19834,20017,31666,14718,26296,32845,27312,25452,21442,4.Clothing and footwear
5.房地租及水費,124366,208179,132291,143493,97696,127095,92108,5.Rent and water charges,,5.房地租及水費,88800,106732,79746,78013,64908,60386,83712,85820,5.Rent and water charges,,5.房地租及水費,73229,67723,97250,48184,116525,137131,157712,119497,116327,5.Rent and water charges
6.燃料及燈光,15676,20690,16558,15315,15639,16504,14325,6.Fuel and light,,6.燃料及燈光,12748,16521,13989,13822,11679,12525,13351,12703,6.Fuel and light,,6.燃料及燈光,13820,11010,15622,13035,17313,13986,14560,15943,16566,6.Fuel and light
7.家具及家庭設備,14320,26146,15839,11505,11920,13922,14923,7.Furniture and family facilities,,7.家具及家庭設備,13497,12672,9290,9015,6896,6671,10425,11880,7.Furniture and family facilities,,7.家具及家庭設備,13057,11368,17839,15013,14012,24344,12531,15939,9590,7.Furniture and family facilities
8.家事管理,10542,21547,11954,10545,7378,8734,7337,8.Household operations,,8.家事管理,5983,10641,5851,4884,5897,4843,5726,7650,8.Household operations,,8.家事管理,6145,4454,10514,5449,10487,15713,9326,8035,8472,8.Household operations
9.保健及醫療,46365,50530,43318,43925,56372,40187,46565,9.Health care and medical,,9.保健及醫療,48769,44509,42103,57363,49996,48642,42387,43289,9.Health care and medical,,9.保健及醫療,46805,42877,55497,35941,53372,55289,48837,50716,43574,9.Health care and medical
10.運輸交通及通訊,53894,69510,64004,52922,47364,60077,73391,10.Transport and communications,,10.運輸交通及通訊,44174,53270,38530,55054,29856,39053,37633,48911,10.Transport and communications,,10.運輸交通及通訊,46644,41749,76773,23192,55974,63979,57466,53903,41664,10.Transport and communications
(1)交通及通訊工具之購置,13322,13364,19021,9960,11470,19119,32439,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,13085,12496,7878,20855,6609,7327,6415,14181,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,5865,15646,33933,3590,14857,22052,17303,22187,7562,(1)Purchases of transport equipment
