appleL06113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Divisions of Households According to Disposable Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Five equal divisions of,,households according to disposable income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,1404,2627,4254,5595,8198,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,2329,5201,8417,11704,20365,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,608,1702,3148,4486,5872,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.教育,23582,1741,7685,18316,33336,56832,10.Education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,40680,86705,123695,155092,204328,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,9397,23604,38542,55989,78908,12.Insurance and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.其他,37856,14468,24425,33931,45874,70582,13.Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(平均數),1165206,383927,701178,1001276,1382254,2357393,Disposable income(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(中位數),984749,400042,683088,984749,1334843,2119296,Disposable income(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
消費支出,888699,402142,645207,848290,1075600,1472254,Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
儲蓄,276507,-18214,55971,152986,306654,885139,Saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所得總額,1479692,486197,896669,1275724,1761003,2978866,Current receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,49.984798724000001,69.238082492999993,48.469196179999997,0,0,0,0,0,0,0,0,T8402,L10,24,1,18
,,,,,,,,,,,,,,,,,,,,,,,,,,16.869745545000001,2.6133154027000001,17.991999912000001,0,0,0,0,0,0,0,0,T8402,L10,24,1,19
