L09105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(11)行動電話,94.58,96.86,97.19,96.95,95.43,92.91,95.19,(11)Cell phone,,(11)行動電話,92.02,94.82,89.06,89.41,93.35,87.96,87.43,(11)Cell phone,,(11)行動電話,91.54,87.69,89.74,88.84,95.4,97.03,94.17,(11)Cell phone
(12)連網(使用電腦或其他設備),81.510000000000005,86.06,88.97,88,83.97,74.790000000000006,85.14,(12)Internet facility,,(12)連網(使用電腦或其他設備),74.36,80.790000000000006,78.97,72.53,70.91,62.73,60,(12)Internet facility,,(12)連網(使用電腦或其他設備),72.290000000000006,62.41,71.73,67,78.02,89.01,76.400000000000006,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,59.68,48.76,46.84,73.16,67.95,62.54,60.83,(13)Sedan vehicle,,(13)汽車,62.28,76.61,74.36,65.790000000000006,66.23,62.22,57.69,(13)Sedan vehicle,,(13)汽車,61.37,58.53,62.84,52.34,35.020000000000003,72.040000000000006,60.58,(13)Sedan vehicle
(14)機車,83.5,80.28,63.04,86.52,87.25,91.5,92.17,(14)Motorcycle,,(14)機車,82.28,81.83,85.39,90.71,86.37,85.41,82.66,(14)Motorcycle,,(14)機車,92.93,84.62,77.48,90.94,74.91,86.07,92.54,(14)Motorcycle
(15)電磁爐,33.24,47.14,40.39,38.08,33.11,24.87,22.38,(15)Electro-magnetic oven,,(15)電磁爐,33.94,31.42,27.2,26.93,22.8,23.23,20.62,(15)Electro-magnetic oven,,(15)電磁爐,14.68,26.2,26.97,16.100000000000001,40,44.98,32.69,(15)Electro-magnetic oven
(16)冷暖氣機,93.15,98.43,97.32,94.18,89.7,92.22,95.02,(16)Air conditioner,,(16)冷暖氣機,92.27,90.76,90.99,94.31,63.79,92.8,81.64,(16)Air conditioner,,(16)冷暖氣機,91.6,73.02,83.62,92.23,87.8,96.6,95.14,(16)Air conditioner
(17)除濕機,34.08,49.63,52.92,58.53,23.58,13.77,11.58,(17)Dehumidifier,,(17)除濕機,59.57,45.62,39.21,13.26,18.25,11.09,9.91,(17)Dehumidifier,,(17)除濕機,5.4,13.25,29.27,32.909999999999997,76.760000000000005,67.400000000000006,14.43,(17)Dehumidifier
(18)洗衣機,98.47,99.92,98.3,98.39,98.23,97.37,98.48,(18)Washing machine,,(18)洗衣機,98.32,97.36,99.7,98.6,96.64,98.14,94.7,(18)Washing machine,,(18)洗衣機,98.32,98.19,97.49,98.08,99.01,98.62,99.68,(18)Washing machine
(19)烘衣機,13.64,15.33,19.86,26.01,10.14,4.55,2.48,(19)Drier,,(19)烘衣機,28.71,29.03,33,6.66,12.97,8.49,5.3,(19)Drier,,(19)烘衣機,1.62,5.0599999999999996,13.63,4.97,24.33,33.909999999999997,5.48,(19)Drier
(20)空氣清淨機,12.86,14.91,22.97,16.55,12.12,7.75,10.29,(20)Air-clean machine,,(20)空氣清淨機,5.99,18.739999999999998,10.76,7.38,5.25,7.4,4.79,(20)Air-clean machine,,(20)空氣清淨機,3.6,2.87,8.5500000000000007,4.4800000000000004,9.3699999999999992,26.58,10.94,(20)Air-clean machine
(21)濾水器,36.659999999999997,39.619999999999997,44.06,47.17,43.47,33.090000000000003,33.58,(21)Water filter machine,,(21)濾水器,25.37,47.19,28.29,22.66,21.88,22.74,29.72,(21)Water filter machine,,(21)濾水器,22.3,16.489999999999998,22.55,5.79,29.11,54.31,39.229999999999997,(21)Water filter machine
