L09102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(11)行動電話,92.57,96.6,95.16,93.57,89.21,91.59,89.3,(11)Cell phone,,(11)行動電話,95.55,93.15,90.97,86.77,90.59,82.21,84.67,(11)Cell phone,,(11)行動電話,89.66,84,92.58,77.89,93.15,95.79,95.12,(11)Cell phone
(12)連網(使用電腦或其他設備),73.94,83.17,82.69,77.290000000000006,67.87,72.88,66.260000000000005,(12)Internet facility,,(12)連網(使用電腦或其他設備),80.790000000000006,78.37,68.13,63.54,55.53,52.12,54.28,(12)Internet facility,,(12)連網(使用電腦或其他設備),59.35,44.74,59.29,51.92,69.040000000000006,85.88,75.099999999999994,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,58.39,49.1,46.16,69.540000000000006,59.7,55.63,60.51,(13)Sedan vehicle,,(13)汽車,71.05,77.75,67.7,65.73,66.5,56.89,62.45,(13)Sedan vehicle,,(13)汽車,56.7,49.38,63.01,42.29,44.44,69.75,67.95,(13)Sedan vehicle
(14)機車,82.79,79.34,60.55,88.59,90.79,91.26,80.56,(14)Motorcycle,,(14)機車,85.88,81.42,85.72,89.81,84.72,89.47,81.41,(14)Motorcycle,,(14)機車,92.15,83.36,83.62,80.650000000000006,65.52,88.17,94.2,(14)Motorcycle
(15)電磁爐,35.799999999999997,50.74,44.06,36.67,24.96,24.39,34.18,(15)Electro-magnetic oven,,(15)電磁爐,36.01,37.67,25.31,27.73,30.52,32.85,30.25,(15)Electro-magnetic oven,,(15)電磁爐,18.14,21.79,28.28,23.69,40.26,46.19,42.01,(15)Electro-magnetic oven
(16)冷暖氣機,89.96,97.52,94.76,86.53,88.46,91.73,86.64,(16)Air conditioner,,(16)冷暖氣機,90.21,88.86,81.66,87.62,57.17,90.06,82,(16)Air conditioner,,(16)冷暖氣機,84.51,68.33,76.739999999999995,86.65,90,95.65,94.51,(16)Air conditioner
(17)除濕機,32.35,44.76,53.89,21.54,12.5,10.41,55.18,(17)Dehumidifier,,(17)除濕機,56.66,49.22,41.22,12.01,19.47,8.35,10.09,(17)Dehumidifier,,(17)除濕機,4.17,12.6,28.01,32.89,72.86,66.02,18.98,(17)Dehumidifier
(18)洗衣機,98.1,99.71,98.05,97.85,97.17,97.79,97.46,(18)Washing machine,,(18)洗衣機,99.03,95.99,98.42,96.85,96.32,99.27,96.68,(18)Washing machine,,(18)洗衣機,97.97,96.86,94.22,96.43,99.03,96.36,99.68,(18)Washing machine
(19)烘衣機,15.62,16.73,24.25,13.31,4.7300000000000004,3.11,29.71,(19)Drier,,(19)烘衣機,32.97,34.729999999999997,34.36,7.47,14.31,5.72,6.12,(19)Drier,,(19)烘衣機,1.49,5.58,15.37,9.61,26.47,31.56,6.36,(19)Drier
(20)空氣清淨機,10.06,12.33,18.84,8,6.15,7.28,3.11,(20)Air-clean machine,,(20)空氣清淨機,14.4,12.67,6.62,4.0199999999999996,5.72,5.08,3.68,(20)Air-clean machine,,(20)空氣清淨機,2.12,5.04,6.59,10.050000000000001,10.01,22.69,7.43,(20)Air-clean machine
(21)濾水器,32.950000000000003,33.880000000000003,36.630000000000003,41.9,28.72,29.6,19.55,(21)Water filter machine,,(21)濾水器,47.64,49.78,30.83,17.3,19.649999999999999,17.329999999999998,36.619999999999997,(21)Water filter machine,,(21)濾水器,12.5,14.58,21.76,3.93,29.61,58.31,33.1,(21)Water filter machine
