分類,資料集名稱,資料集識別碼,提供機關,更新頻率,檔案,來源網址,狀態,位元組,SHA256,下載時間_UTC
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(9).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/251E55D7-4921-499E-A9EF-51590C977895/download,200,401213,4390955d628d05049bb8e1883903aeaac370d2efb45e90f978f09ab7463d4da3,2026-08-16T07:54:47+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(15).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/C9B93115-09AB-42CC-98BB-5C4DCE463613/download,200,68946,66ece171e60b6ef8618f7fa8804ea9bc77110be234c3933fa11495cd7801ba78,2026-08-16T07:54:49+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(16).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/95A3A44D-E8B6-4A10-8B60-6089558AC8D6/download,200,1354804,392e5805172c3ce73608fc50f855f8f23a683aa08e1300fe99a612a1fd387566,2026-08-16T07:54:52+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表.json,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP001/10601,200,442198,04e7a7700bb93538769c4b28734d63e5a158bc090c4a1c5245102c8d5b4a546f,2026-08-16T07:54:55+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(10).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/1CFEAD04-3C45-4672-B0D2-617ED656EC1F/download,200,408839,cd0479dc41dceacb2e6265cb4f62fd552ceb3d396da15e767a6b94810b49889c,2026-08-16T07:54:58+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(17).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/BBACE957-73B2-4F51-B1B8-6332BB081E21/download,200,70839,16b3429be5a194ee8d4c1a0ef0655aeb09b6cd5de05b1b8204156f8c0e8356ca,2026-08-16T07:54:59+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(18).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/9E24F565-68AB-49C6-ACB9-6394378ED5E3/download,200,70083,dbeac4674472ae784327e9acf21e0766271ee305711b32cba9b8f60ec5399896,2026-08-16T07:55:01+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(19).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/7A56BCCE-5382-486A-9AD6-6AB74051A661/download,200,1252905,2dfe3bf4db5da0906ffd57e403815968bed7eeaed7a198a34a61245a9864e73b,2026-08-16T07:55:03+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(11).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/D842E553-8DF3-4969-9B53-6DF57ADA0419/download,200,400150,76ab3c97ecdad0c2ec50ee3401e1ca175a099ef0156fcaf5a014eb2020a1231a,2026-08-16T07:55:05+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(20).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/4D4A6C7A-06C4-4A41-8AAF-7CAA0DCB1D48/download,200,71071,e20b05c81ee18ddc2c121f49e2e466feb67506484f0fe46e705c1be7658179bf,2026-08-16T07:55:07+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(12).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/4FB19859-0149-451E-A2F0-8388EF960415/download,200,401261,49326bcf67cf164c6f8b92a8d8e110666e191e7142e6f913ddf86307ea64b644,2026-08-16T07:55:09+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(21).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/D2ABA2C6-366A-44AA-A109-84C20420A8CD/download,200,1331674,982836c67810095bc273c110612ea0204f7978a28c3441981f22e6944291c167,2026-08-16T07:55:11+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(22).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/055AAA69-01DD-4B64-B4D5-89C4C0502855/download,200,1355539,e51a404da9c49477c6d5eb82215df187732735eedbd0844827bb3c3c98351892,2026-08-16T07:55:14+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(23).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/C22F58CD-A82F-4B09-9542-8CF3A7EEBDDD/download,200,1334299,6595177835dcceecf4d4cde56279fbe22637736e1b21a0d772f2252e594296c5,2026-08-16T07:55:17+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(24).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/16214859-6027-4763-AC87-8E26C3B71505/download,200,1354521,115475bf56c6597b1071c436e5b328efbbce0b02afb6a23dddf755c34de45342,2026-08-16T07:55:19+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(25).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/01C3A9E4-FFA0-4C54-AC75-90E5A479DC16/download,200,73180,fd9372bc64250df9a25558aa140d08456c01c8e3ed6de98d91071489d34f4869,2026-08-16T07:55:21+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(26).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/6D287F0C-0C93-41F3-97E4-9519C8A372AE/download,200,1355386,28afd237f5570b280e01cf56bf63b0c731ebe025b48848f380653043f9d606df,2026-08-16T07:55:23+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(27).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/A725BB86-2B9C-43B2-92A3-9B5DD85FAD5E/download,200,1332954,84a873a9e550fbecf74e714e97991026a5f96ee6cd5907e0a81b66917e48a255,2026-08-16T07:55:26+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(28).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/D2F4131C-99AE-410D-84BE-9C6F538F5825/download,200,74744,6d201ed45d78e06f9022ea9ad9ce2219fa233078bf263b7c02689cf2c3a24f45,2026-08-16T07:55:27+00:00
