COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
67000,臺南市,67000120,佳里區,48383,44669,44793,44686,49576,48534,48437,48740,125565,116499,124374,171796,112762,137837,141276,169780,"112Y11M"
67000,臺南市,67000130,學甲區,18329,16786,16628,16664,18963,18556,18726,18496,50331,47363,49308,59864,48984,60105,61545,63288,"112Y11M"
67000,臺南市,67000140,西港區,19635,19189,19352,19272,19997,19600,19305,19493,63802,52705,56337,76548,54950,59815,63621,72534,"112Y11M"
67000,臺南市,67000150,七股區,13978,13487,13369,13327,14335,15240,15279,15033,40315,41587,43348,45778,40552,64269,69277,57966,"112Y11M"
67000,臺南市,67000160,將軍區,11278,10263,10249,10193,11666,11920,12059,11819,26664,26591,27225,30361,27436,38638,40304,36579,"112Y11M"
67000,臺南市,67000170,北門區,5171,5305,5254,5247,5686,6816,6798,6564,15679,18221,19181,16192,19325,33411,36802,24248,"112Y11M"
67000,臺南市,67000180,新化區,36854,34715,34074,34323,36408,36328,34939,35371,122043,102501,110343,142981,114665,126809,130133,144113,"112Y11M"
67000,臺南市,67000190,善化區,61985,70613,69635,70016,59944,62406,60312,61898,204639,168320,174613,260025,159855,180312,178344,233987,"112Y11M"
67000,臺南市,67000200,新市區,59088,89831,89148,89545,55875,61177,59431,60918,251302,194556,203134,297228,167182,168201,175801,237409,"112Y11M"
67000,臺南市,67000210,安定區,31450,40887,40200,40461,30901,32298,31749,32238,126022,96394,103994,139050,90169,92966,100660,121838,"112Y11M"
67000,臺南市,67000220,山上區,6082,9101,8800,8912,6257,7794,7446,7622,22015,20518,21030,21856,18871,20479,21596,20358,"112Y11M"
67000,臺南市,67000230,玉井區,9514,9671,9642,9656,9970,10569,10637,10531,27769,27956,28953,30017,29428,40275,39905,34811,"112Y11M"
67000,臺南市,67000240,楠西區,6230,6203,6306,6229,6758,7428,7510,7334,14831,16481,16836,15309,17131,26901,26406,18690,"112Y11M"
