,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,,,,,,,,,,
,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續４）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(Cont.4),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按主要家計負責人之性別及年齡分,,,,,,,,,By Sex and Age of Main Family Living Supporter
,總計,7910384,6237010,1449047,4787963,,1673374,248938,1424436,Grand Total
,未滿２５歲,120586,54560,11496,43064,,66026,7133,58893,Under 25 Years
,２５－３４歲,720328,465552,86733,378819,,254776,27022,227754,25-34 Years
,３５－４４歲,1696877,1267785,242904,1024881,,429092,62919,366173,35-44 Years
,４５－５４歲,1966728,1575974,359371,1216603,,390754,61999,328755,45-54 Years
,５５－６４歲,1855618,1547634,399826,1147808,,307984,50448,257536,55-64 Years
,６５歲以上,1550247,1325505,348717,976788,,224742,39417,185325,65 Years and Over
,男,5207868,4233390,989778,3243612,,974478,154540,819938,Male
,未滿２５歲,69416,33326,7094,26232,,36090,3901,32189,Under 25 Years
,２５－３４歲,478143,324354,60093,264261,,153789,16979,136810,25-34 Years
,３５－４４歲,1178997,919655,175159,744496,,259342,40511,218831,35-44 Years
,４５－５４歲,1315643,1086244,245555,840689,,229399,39245,190154,45-54 Years
,５５－６４歲,1216443,1035087,270085,765002,,181356,31964,149392,55-64 Years
,６５歲以上,949226,834724,231792,602932,,114502,21940,92562,65 Years and Over
,女,2702516,2003620,459269,1544351,,698896,94398,604498,Female
,未滿２５歲,51170,21234,4402,16832,,29936,3232,26704,Under 25 Years
,２５－３４歲,242185,141198,26640,114558,,100987,10043,90944,25-34 Years
,３５－４４歲,517880,348130,67745,280385,,169750,22408,147342,35-44 Years
,４５－５４歲,651085,489730,113816,375914,,161355,22754,138601,45-54 Years
,５５－６４歲,639175,512547,129741,382806,,126628,18484,108144,55-64 Years
,６５歲以上,601021,490781,116925,373856,,110240,17477,92763,65 Years and Over
