,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３５ ５歲以上常住人口跨縣市之遷徙狀況,,Table 35 Migration Status of the Resident Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,常住人口,跨縣市遷徙人口,國內遷徙,,Internal migration,自大陸地區（含港澳）或國外遷入,,,,
,,,Migration from the Chinese Mainland(including Hong Kong and Macau) or overseas,,,,,,,,
,,,,,,,,,,,
,,淨遷徙,遷入,,遷出,合計,大陸地區（含港澳）,國外地區,,,
,,Residentpopulation,Migration population moving across county/city,,,,,,,,
,,Net migration,In-migration,,Out-migration,Total,The Chinese Mainland (including Hong Kong and Macau),Overseas,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,宜蘭縣,198508,12433,695,11147,,10452,1286,474,812,Yilan County
,新竹縣,277133,30207,9119,27067,,17948,3140,683,2457,Hsinchu County
,臺中市,1427070,90190,21925,78809,,56884,11381,4128,7253,Taichung City
,苗栗縣,236025,12528,-5656,11255,,16911,1273,488,785,Miaoli County
,彰化縣,533481,16303,-21334,14121,,35455,2182,720,1462,Changhua County
,南投縣,202088,9001,-7529,7976,,15505,1025,351,674,Nantou County
,雲林縣,265150,11601,-9554,9999,,19553,1602,472,1130,Yunlin County
,臺南市,886057,54142,6065,48086,,42021,6056,1938,4118,Tainan City
,高雄市,1315846,58288,-13460,49164,,62624,9124,2649,6475,Kaohsiung City
,嘉義市,125592,8811,-2883,8228,,11111,583,222,361,Chiayi City
,嘉義縣,212889,17816,-3835,16447,,20282,1369,340,1029,Chiayi County
,屏東縣,356513,20819,-4849,18866,,23715,1953,563,1390,Pingtung County
,澎湖縣,34331,2129,-1533,2026,,3559,103,6,97,Penghu County
,臺東縣,88360,5061,-2289,4784,,7073,277,159,118,Taitung County
,花蓮縣,142891,13593,-1416,12515,,13931,1078,246,832,Hualien County
,金門縣,30288,2465,-768,1995,,2763,470,234,236,Kinmen County
,連江縣,3720,798,-89,756,,845,42,9,33,Lienchiang County
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
