,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態,,Table 68 Family Household Type of Ordinary Households,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,,By County/City
,６５歲以上,1005139,269208,94724,65689,108795,279476,,169623,71756,38097,351690,104765,76048,28717,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Unit:Household單位：戶,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態（續２）,,Table 68 Family Household Type of Ordinary Households(Cont.2),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及婚姻狀況分,,,,,,,,,,,,,,,By Sex and Marital Statusof Householder
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,未婚,1096337,179438,2109,84749,92580,24132,,12457,4592,7083,739155,153612,117255,36357,Unmarried
,有配偶或同居伴侶,5088529,3440081,1069901,2370180,0,884586,,588256,238150,58180,572733,191129,177404,13725,Married or Cohabited
,離婚或分居,907236,279235,0,0,279235,97132,,71395,18346,7391,438700,92169,78149,14020,Divorced or Separated
,喪偶,941089,224707,0,0,224707,272946,,171621,70531,30794,333961,109475,75956,33519,Widowed
,男,4662715,2614294,777208,1644595,192491,757541,,513117,196178,48246,993979,296901,255504,41397,Male
,未婚,610886,107271,1151,52326,53794,14001,,6927,2777,4297,408634,80980,63616,17364,Unmarried
,有配偶或同居伴侶,3464534,2368326,776057,1592269,0,648520,,437291,173162,38067,309613,138075,130228,7847,Married or Cohabited
,離婚或分居,400911,96750,0,0,96750,42366,,35043,5765,1558,207930,53865,46538,7327,Divorced or Separated
,喪偶,186384,41947,0,0,41947,52654,,33856,14474,4324,67802,23981,15122,8859,Widowed
,女,3370476,1509167,294802,810334,404031,521255,,330612,135441,55202,1090570,249484,193260,56224,Female
,未婚,485451,72167,958,32423,38786,10131,,5530,1815,2786,330521,72632,53639,18993,Unmarried
,有配偶或同居伴侶,1623995,1071755,293844,777911,0,236066,,150965,64988,20113,263120,53054,47176,5878,Married or Cohabited
,離婚或分居,506325,182485,0,0,182485,54766,,36352,12581,5833,230770,38304,31611,6693,Divorced or Separated
,喪偶,754705,182760,0,0,182760,220292,,137765,56057,26470,266159,85494,60834,24660,Widowed
,按戶長之性別及教育程度分,,,,,,,,,,,,,,,By Sex and EducationalAttainment of Householder
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,國小及以下,1213748,393076,165015,130257,97804,385115,,248509,92925,43681,310193,125364,100046,25318,Elementary and Lower
,國（初）中,1106455,527802,141661,282522,103619,242402,,164099,57873,20430,253335,82916,71878,11038,Junior High
,高級中等,2293866,1247856,290448,744571,212837,344595,,232725,89874,21996,553450,147965,127856,20109,Senior High
,大專及以上,3419122,1954727,474886,1297579,182262,306684,,198396,90947,17341,967571,190140,148984,41156,Junior College and Higher
,男,4662715,2614294,777208,1644595,192491,757541,,513117,196178,48246,993979,296901,255504,41397,Male
,國小及以下,544294,231962,124654,90179,17129,172200,,115417,40747,16036,90700,49432,42881,6551,Elementary and Lower
,國（初）中,659762,342512,105205,203431,33876,141119,,97575,33934,9610,126098,50033,44773,5260,Junior High
,高級中等,1365815,774833,205972,497182,71679,225436,,156443,57306,11687,273628,91918,82375,9543,Senior High
,大專及以上,2092844,1264987,341377,853803,69807,218786,,143682,64191,10913,503553,105518,85475,20043,Junior College and Higher
,女,3370476,1509167,294802,810334,404031,521255,,330612,135441,55202,1090570,249484,193260,56224,Female
,國小及以下,669454,161114,40361,40078,80675,212915,,133092,52178,27645,219493,75932,57165,18767,Elementary and Lower
,國（初）中,446693,185290,36456,79091,69743,101283,,66524,23939,10820,127237,32883,27105,5778,Junior High
,高級中等,928051,473023,84476,247389,141158,119159,,76282,32568,10309,279822,56047,45481,10566,Senior High
,大專及以上,1326278,689740,133509,443776,112455,87898,,54714,26756,6428,464018,84622,63509,21113,Junior College and Higher
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,,,,,,,,,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態（續３）,,Table 68 Family Household Type of Ordinary Households(Cont.3),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                     民國109年11月,,November 2020                  Unit:household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及工作狀況分,,,,,,,,,,,,,,,By Sex and Working Status of Householder
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,有工作,4711455,2691183,552477,1791492,347214,557735,,386500,144688,26547,1183041,279496,237859,41637,Holding a Job
,農業,288372,134033,54289,65224,14520,68493,,45263,17653,5577,65275,20571,19630,941,Agriculture
,工業,1671592,1019369,188974,718856,111539,205766,,148729,49933,7104,351368,95089,83046,12043,Industry
,服務業,2751491,1537781,309214,1007412,221155,283476,,192508,77102,13866,766398,163836,135183,28653,Services
,無工作,3321736,1432278,519533,663437,249308,721061,,457229,186931,76901,901508,266889,210905,55984,Not Holding a Job
,男,4662715,2614294,777208,1644595,192491,757541,,513117,196178,48246,993979,296901,255504,41397,Male
,有工作,3059877,1837415,419245,1288723,129447,405169,,285416,103597,16156,642513,174780,153404,21376,Holding a Job
,農業,230386,114151,49469,57406,7276,56199,,37525,14575,4099,43202,16834,16103,731,Agriculture
,工業,1280964,798564,157682,583412,57470,166780,,121707,40081,4992,243222,72398,64557,7841,Industry
,服務業,1548527,924700,212094,647905,64701,182190,,126184,48941,7065,356089,85548,72744,12804,Services
,無工作,1602838,776879,357963,355872,63044,352372,,227701,92581,32090,351466,122121,102100,20021,Not Holding a Job
,女,3370476,1509167,294802,810334,404031,521255,,330612,135441,55202,1090570,249484,193260,56224,Female
,有工作,1651578,853768,133232,502769,217767,152566,,101084,41091,10391,540528,104716,84455,20261,Holding a Job
