,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over,,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,,合計,臺中市,苗栗縣,彰化縣,南投縣,雲林縣,,合計,臺南市,高雄市,嘉義市,嘉義縣,
,,,TaichungCity,MiaoliCounty,ChanghuaCounty,NantouCounty,YunlinCounty,,,TainanCity,KaohsiungCity,ChiayiCity,ChiayiCounty,
,,Total,,Total,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,,By Usually Living County/City
,總計,2651024,1351788,245678,563115,204862,285581,,2837404,847372,1255102,115839,220421,Grand Total
,北部地區,51307,24437,8878,8684,3720,5588,,58759,17092,24945,2863,6076,Northern Region
,新北市,11271,5362,1243,1899,832,1935,,16884,4662,6774,806,2412,New Taipei City
,臺北市,13865,7676,1246,2254,1294,1395,,17551,5022,8283,889,1275,Taipei City
,桃園市,12562,5394,2527,2404,920,1317,,12470,3608,5221,573,1379,Taoyuan City
,基隆市,753,402,98,166,51,36,,989,184,521,37,33,Keelung City
,新竹市,6433,2725,1942,1110,287,369,,5571,2027,2257,403,326,Hsinchu City
,宜蘭縣,1117,611,113,210,70,113,,1332,220,729,42,68,Yilan County
,新竹縣,5306,2267,1709,641,266,423,,3962,1369,1160,113,583,Hsinchu County
,中部地區,2558531,1307887,234197,545958,197781,272708,,26049,7989,9386,1735,4043,Central Region
,臺中市,1322389,1295813,4082,12399,6622,3473,,17958,5564,6237,1238,2884,Taichung City
,苗栗縣,232721,2108,229411,789,218,195,,1501,497,574,53,147,Miaoli County
,彰化縣,536597,4624,349,530248,654,722,,2444,690,974,111,308,Changhua County
,南投縣,194450,3206,178,1100,189779,187,,902,323,408,38,71,Nantou County
,雲林縣,272374,2136,177,1422,508,268131,,3244,915,1193,295,633,Yunlin County
,南部地區,37176,17491,2188,7700,2875,6922,,2744940,820375,1216861,111085,209841,Southern Region
,臺南市,13185,6018,888,3251,880,2148,,824407,804999,11502,1328,2858,Tainan City
,高雄市,11944,6537,726,2137,835,1709,,1217342,10163,1194103,841,1543,Kaohsiung City
,嘉義市,1333,459,25,214,34,601,,109712,756,427,105751,2635,Chiayi City
,嘉義縣,6286,2099,215,1263,701,2008,,209661,2027,1942,2916,202386,Chiayi County
,屏東縣,3454,1866,280,688,306,314,,345061,1934,7627,216,265,Pingtung County
,澎湖縣,974,512,54,147,119,142,,38757,496,1260,33,154,Penghu County
,東部地區,2618,1374,252,491,294,207,,5595,1446,2968,90,315,Eastern Region
,臺東縣,1216,625,120,257,129,85,,2888,728,1508,40,156,Taitung County
,花蓮縣,1402,749,132,234,165,122,,2707,718,1460,50,159,Hualien County
,金馬地區,1392,599,163,282,192,156,,2061,470,942,66,146,Kinma Region
,金門縣,529,213,51,134,69,62,,1103,202,559,28,49,Kinmen County
,連江縣,863,386,112,148,123,94,,958,268,383,38,97,Lienchiang County
,註：本表資料不含勞動部核准引進之產業及社福移工。,,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人,民國109年,,,,,,2020,Unit:Person,,,,,
,表３３ ５歲以上常住人口５年前居住地（續５）,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over(Cont.5),,,,,,,,,,,
,(2)男性,,(2)Male,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,Southern region,東部地區 Eastern region,,金馬地區 Kinma region,大陸地區（含港澳）,,,,,,,,
,,,,,,,,,,,,,,
,,,國外地區,,,,,,,,,,,
,,,,,,,,,,,The Chinese Mainland (including Hong Kong and Macau),,,
,,屏東縣,澎湖縣,合計,臺東縣,花蓮縣,,合計,金門縣,連江縣,,,,
,,PingtungCounty,PenghuCounty,,TaitungCounty,HualienCounty,,,KinmenCounty,LienchiangCounty,,,,
,,Total,,Total,Overseas,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,By Usually Living County/City,
,總計,358305,40365,229747,89165,140582,,37953,32087,5866,24497,53863,Grand Total,
,北部地區,6658,1125,11359,2701,8658,,2362,1316,1046,15608,34717,Northern Region,
,新北市,1770,460,3610,753,2857,,783,376,407,4851,10028,New Taipei City,
,臺北市,1807,275,2590,816,1774,,625,387,238,5896,13357,Taipei City,
,桃園市,1470,219,2705,670,2035,,614,343,271,2767,5465,Taoyuan City,
,基隆市,196,18,174,37,137,,94,26,68,292,467,Keelung City,
,新竹市,534,24,755,158,597,,131,110,21,855,2944,Hsinchu City,
,宜蘭縣,234,39,895,160,735,,79,52,27,383,626,Yilan County,
,新竹縣,647,90,630,107,523,,36,22,14,564,1830,Hsinchu County,
,中部地區,2217,679,2302,806,1496,,701,515,186,4093,7746,Central Region,
,臺中市,1490,545,1717,493,1224,,432,349,83,2892,5427,Taichung City,
,苗栗縣,214,16,133,55,78,,61,21,40,289,505,Miaoli County,
,彰化縣,272,89,221,102,119,,66,31,35,462,790,Changhua County,
,南投縣,46,16,148,101,47,,85,58,27,209,433,Nantou County,
,雲林縣,195,13,83,55,28,,57,56,1,241,591,Yunlin County,
,南部地區,348331,38447,4404,2793,1611,,1172,940,232,4302,10621,Southern Region,
,臺南市,3445,275,964,581,383,,386,362,24,1608,4011,Tainan City,
,高雄市,9224,1468,2177,1418,759,,487,365,122,2054,5124,Kaohsiung City,
,嘉義市,141,2,64,55,9,,21,20,1,127,240,Chiayi City,
,嘉義縣,342,48,149,59,90,,109,75,34,205,606,Chiayi County,
,屏東縣,334921,98,951,642,309,,121,79,42,263,621,Pingtung County,
,澎湖縣,258,36556,99,38,61,,48,39,9,45,19,Penghu County,
,東部地區,710,66,211501,82804,128697,,118,106,12,309,698,Eastern Region,
,臺東縣,443,13,82557,82078,479,,48,40,8,130,88,Taitung County,
,花蓮縣,267,53,128944,726,128218,,70,66,4,179,610,Hualien County,
,金馬地區,389,48,181,61,120,,33600,29210,4390,185,81,Kinma Region,
,金門縣,244,21,82,30,52,,29202,29191,11,178,74,Kinmen County,
,連江縣,145,27,99,31,68,,4398,19,4379,7,7,Lienchiang County,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地（續６）,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over(Cont.6),,,,,,,,,,,
,(3)女性,,(3)Female,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,總計,11258929,5294636,2069944,1296943,,1067619,179657,219072,196527,264874,Grand Total,,
